Table: pengaduan
Field: id | Type: bigint(20) unsigned | Null: NO | Key: PRI | Default: 
Field: kode_tiket | Type: varchar(255) | Null: YES | Key: UNI | Default: 
Field: nama_pelapor | Type: varchar(255) | Null: NO | Key:  | Default: 
Field: kontak_pelapor | Type: varchar(20) | Null: YES | Key:  | Default: 
Field: email_pelapor | Type: varchar(255) | Null: YES | Key:  | Default: 
Field: judul_pengaduan | Type: varchar(255) | Null: YES | Key:  | Default: 
Field: isi_pengaduan | Type: text | Null: NO | Key:  | Default: 
Field: foto_bukti | Type: varchar(255) | Null: YES | Key:  | Default: 
Field: status | Type: enum('pending','proses','selesai','Masuk') | Null: YES | Key:  | Default: pending
Field: kategori_id | Type: bigint(20) unsigned | Null: YES | Key:  | Default: 
Field: tanggapan | Type: text | Null: YES | Key:  | Default: 
Field: created_at | Type: timestamp | Null: YES | Key:  | Default: 
Field: updated_at | Type: timestamp | Null: YES | Key:  | Default: 
